epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy,loss_fn,Test_f1,Test_acc
1,0.3280154859639734,0.2239163501637828,0.6952071892161757,0.35354872589020303,0.7442557442557443,FocalLoss,0.7961706239839069,0.8662674650698603
2,0.1843334475970007,0.4472499035485183,0.7513729405891163,0.4888241203581925,0.7802197802197802,FocalLoss,0.7961706239839069,0.8662674650698603
3,0.14534742630038602,0.5314443648918982,0.7754618072890664,0.6780933292546304,0.8231768231768232,FocalLoss,0.7961706239839069,0.8662674650698603
4,0.12143703142322036,0.5930106596562501,0.7861957064403395,0.663366927231709,0.8061938061938062,FocalLoss,0.7961706239839069,0.8662674650698603
5,0.09728617594202617,0.6392827724494027,0.8096605092361457,0.7143517474742556,0.8341658341658341,FocalLoss,0.7961706239839069,0.8662674650698603
6,0.08515641237961581,0.669760720047139,0.8164003994008987,0.6964533638280139,0.8291708291708292,FocalLoss,0.7961706239839069,0.8662674650698603
7,0.06984340704502574,0.7121581210662052,0.8308786819770344,0.7499637836107219,0.8321678321678322,FocalLoss,0.7961706239839069,0.8662674650698603
8,0.07003848820152986,0.7165450494810309,0.8333749375936096,0.7390453237265667,0.8421578421578422,FocalLoss,0.7961706239839069,0.8662674650698603
9,0.05178858975015314,0.7401762682129766,0.8494757863205192,0.7314109527832064,0.8361638361638362,FocalLoss,0.7961706239839069,0.8662674650698603
10,0.05020761953303182,0.7443322860292827,0.8476035946080879,0.7280220688767213,0.8541458541458542,FocalLoss,0.7961706239839069,0.8662674650698603
11,0.04279585124435927,0.7626067386670116,0.8615826260609086,0.733644722885953,0.8481518481518482,FocalLoss,0.7961706239839069,0.8662674650698603
12,0.0416352990634398,0.7643950147950932,0.863954068896655,0.7072852046207121,0.8281718281718282,FocalLoss,0.7961706239839069,0.8662674650698603
13,0.03431691947523913,0.7892450796925358,0.8719420868696954,0.7558331262985901,0.8241758241758241,FocalLoss,0.7961706239839069,0.8662674650698603
14,0.036724536187123076,0.7830627848239713,0.8688217673489765,0.70470273065804,0.8451548451548452,FocalLoss,0.7961706239839069,0.8662674650698603
15,0.03644815487583053,0.7920543136577497,0.8728157763354968,0.7620066343416095,0.8651348651348651,FocalLoss,0.7961706239839069,0.8662674650698603
16,0.026839740526587868,0.8072138895821784,0.8830504243634548,0.75937816213515,0.8611388611388612,FocalLoss,0.7961706239839069,0.8662674650698603
17,0.028218987257548227,0.8175308385712537,0.8835496754867699,0.7237377306611773,0.8481518481518482,FocalLoss,0.7961706239839069,0.8662674650698603
18,0.03274583675600848,0.8101249138381649,0.8805541687468796,0.6842434457968757,0.8201798201798202,FocalLoss,0.7961706239839069,0.8662674650698603
19,0.019394924046134993,0.8397166201927132,0.9006490264603095,0.7801847125399256,0.8641358641358642,FocalLoss,0.7961706239839069,0.8662674650698603
20,0.022023328439834847,0.8467228275908919,0.8990264603095357,0.6944782965561418,0.8091908091908092,FocalLoss,0.7961706239839069,0.8662674650698603
21,0.0312634801226682,0.8205641813286931,0.8844233649525711,0.7521159130220897,0.8681318681318682,FocalLoss,0.7961706239839069,0.8662674650698603
22,0.013993530018803333,0.8726410937746101,0.9157513729405892,0.7746479777933424,0.8651348651348651,FocalLoss,0.7961706239839069,0.8662674650698603
23,0.010889226828949466,0.876231047331287,0.9216175736395407,0.780222621578627,0.8651348651348651,FocalLoss,0.7961706239839069,0.8662674650698603
24,0.013087964752611085,0.8756456122296626,0.9160009985022466,0.8027867636185949,0.8731268731268731,FocalLoss,0.7961706239839069,0.8662674650698603
25,0.015837171667953953,0.8640721018602174,0.9080129805292062,0.803307160831065,0.8781218781218781,FocalLoss,0.7961706239839069,0.8662674650698603
