epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy,Test_f1,Test_acc
1.0,3.1454370834265544,0.37073895483584235,0.2876684972541188,0.5002876040697469,0.44559585492227977,0.7722051440724349,0.7883597883597884
2.0,1.8542528456183756,0.5957060711743486,0.5834248627059411,0.642734657059558,0.6321243523316062,0.7722051440724349,0.7883597883597884
3.0,1.6547333708234653,0.6252314815900188,0.6282576135796305,0.6675585044600159,0.6632124352331606,0.7722051440724349,0.7883597883597884
4.0,1.5468581861751094,0.6417152346195317,0.6477284073889166,0.6830900589297411,0.6787564766839378,0.7722051440724349,0.7883597883597884
5.0,1.4565447257582549,0.652997410265384,0.6605092361457813,0.6722877066709444,0.6735751295336787,0.7722051440724349,0.7883597883597884
6.0,1.3743083788331147,0.6694264698257146,0.6765851223165252,0.6978239240988082,0.6994818652849741,0.7722051440724349,0.7883597883597884
7.0,1.3335949797539195,0.6741310958635551,0.6844732900649027,0.7122422787204791,0.7202072538860104,0.7722051440724349,0.7883597883597884
8.0,1.2647430991670887,0.692071551595323,0.7026460309535697,0.7050236040257963,0.7150259067357513,0.7722051440724349,0.7883597883597884
9.0,1.2361464508020195,0.7066076561318706,0.7183225162256615,0.7236244174600005,0.7305699481865285,0.7722051440724349,0.7883597883597884
10.0,1.2008379310559316,0.7045999832560095,0.7156265601597603,0.7057388760648552,0.7098445595854922,0.7722051440724349,0.7883597883597884
11.0,1.1707680244354686,0.7163751948344529,0.7290064902646031,0.7051426704276443,0.7150259067357513,0.7722051440724349,0.7883597883597884
12.0,1.1489278719683362,0.7210025517934671,0.7323015476784823,0.7304385128423315,0.7409326424870466,0.7722051440724349,0.7883597883597884
13.0,1.124298823487227,0.7258397797162003,0.7401897154268597,0.7363229794187509,0.7409326424870466,0.7722051440724349,0.7883597883597884
14.0,1.0952398074660332,0.7332213161318372,0.7465801298052921,0.7436744731612341,0.7564766839378239,0.7722051440724349,0.7883597883597884
15.0,1.0824544968878387,0.7411204484911004,0.7544682975536695,0.744805261052443,0.7616580310880829,0.7722051440724349,0.7883597883597884
16.0,1.061925718359127,0.7468090881560195,0.7603594608087868,0.7534375685966183,0.7668393782383419,0.7722051440724349,0.7883597883597884
17.0,1.0393650539361747,0.7534659819900038,0.7661507738392411,0.7643806038200558,0.772020725388601,0.7722051440724349,0.7883597883597884
18.0,1.0317200502012944,0.7536645508547797,0.7678482276585122,0.728483040989741,0.7461139896373057,0.7722051440724349,0.7883597883597884
19.0,1.0134165932418435,0.7679228729085581,0.7804293559660509,0.7665143377729233,0.7823834196891192,0.7722051440724349,0.7883597883597884
20.0,0.9987737096039353,0.770318292147146,0.7833250124812781,0.7576755335658302,0.7668393782383419,0.7722051440724349,0.7883597883597884
21.0,0.9824331721682458,0.7773806300295342,0.7886170743884173,0.7652287945808934,0.7668393782383419,0.7722051440724349,0.7883597883597884
22.0,0.9838335506475655,0.775983559941791,0.7882176734897653,0.7615425824739764,0.7668393782383419,0.7722051440724349,0.7883597883597884
23.0,0.9666114908874415,0.7847382086432068,0.7963055416874688,0.7568641180040143,0.7616580310880829,0.7722051440724349,0.7883597883597884
24.0,0.9575820747454455,0.7896627070125531,0.8011982026959561,0.7586262927501772,0.7668393782383419,0.7722051440724349,0.7883597883597884
25.0,0.9452289726324142,0.7971455183308891,0.8078881677483775,0.7688119866440414,0.7772020725388601,0.7722051440724349,0.7883597883597884
26.0,0.9373761992545644,0.7957545983244703,0.8066899650524214,0.7772928961400402,0.7823834196891192,0.7722051440724349,0.7883597883597884
