epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy,loss_fn,Test_f1,Test_acc
1,0.8732218672317338,0.24900150464136406,0.7046929605591613,0.43967567918238826,0.7602397602397603,CrossEntropy,0.6806205108108149,0.8183632734530938
2,0.7011908557547991,0.43715737349157596,0.7502496255616575,0.5097062030563885,0.7842157842157842,CrossEntropy,0.6806205108108149,0.8183632734530938
3,0.6182914575732562,0.5193573672443911,0.7735896155766351,0.5893038417895032,0.8001998001998002,CrossEntropy,0.6806205108108149,0.8183632734530938
4,0.5708969049007294,0.5862262093501157,0.7904393409885172,0.5228050027914365,0.7862137862137862,CrossEntropy,0.6806205108108149,0.8183632734530938
5,0.5215962599829373,0.6361222796583255,0.8079131303045431,0.6462316258450919,0.7972027972027972,CrossEntropy,0.6806205108108149,0.8183632734530938
6,0.5020165341308868,0.6700474767787659,0.8175237144283575,0.6424040237834435,0.8131868131868132,CrossEntropy,0.6806205108108149,0.8183632734530938
7,0.47485063091454754,0.6884582266586369,0.8292561158262606,0.6724856045991385,0.8471528471528471,CrossEntropy,0.6806205108108149,0.8183632734530938
8,0.4433118497945398,0.7101854962042562,0.8383674488267598,0.7103607599794612,0.8481518481518482,CrossEntropy,0.6806205108108149,0.8183632734530938
9,0.4269273065594563,0.7308898050217125,0.846979530703944,0.6663303594716468,0.8161838161838162,CrossEntropy,0.6806205108108149,0.8183632734530938
10,0.40645759959382366,0.7335934392846847,0.8499750374438343,0.7841404010503299,0.8651348651348651,CrossEntropy,0.6806205108108149,0.8183632734530938
11,0.3938728317440269,0.7462022082831948,0.8520968547179231,0.7453331157519637,0.8331668331668332,CrossEntropy,0.6806205108108149,0.8183632734530938
12,0.36480011034059334,0.7769589685926438,0.8652021967049426,0.6804102014187611,0.8351648351648352,CrossEntropy,0.6806205108108149,0.8183632734530938
13,0.3476806005455583,0.7821326931348941,0.8715676485272091,0.6794879342191148,0.8261738261738262,CrossEntropy,0.6806205108108149,0.8183632734530938
14,0.33262070977830316,0.7971338630395405,0.8761857214178732,0.7654630624787611,0.8511488511488512,CrossEntropy,0.6806205108108149,0.8183632734530938
15,0.3143606019981829,0.8138159100693917,0.8854218671992012,0.7700896896438852,0.8601398601398601,CrossEntropy,0.6806205108108149,0.8183632734530938
16,0.3037796949604118,0.8127248600145915,0.886045931103345,0.7135787756220362,0.8421578421578422,CrossEntropy,0.6806205108108149,0.8183632734530938
17,0.2911853970759418,0.8294547964304704,0.8937843235147279,0.7448536260060281,0.8611388611388612,CrossEntropy,0.6806205108108149,0.8183632734530938
18,0.27874422049617387,0.8403024939959963,0.8961557663504743,0.7323117867929447,0.8501498501498501,CrossEntropy,0.6806205108108149,0.8183632734530938
19,0.27324309300972643,0.8392038562698177,0.8995257114328508,0.7667398671288941,0.8691308691308691,CrossEntropy,0.6806205108108149,0.8183632734530938
20,0.24249719996079505,0.8710255800733918,0.9126310534198702,0.7398362790852903,0.8421578421578422,CrossEntropy,0.6806205108108149,0.8183632734530938
21,0.25525324416172457,0.85427614005408,0.9027708437343984,0.7779943356729323,0.8691308691308691,CrossEntropy,0.6806205108108149,0.8183632734530938
22,0.22508127004858033,0.8701734789525205,0.917873190214678,0.7944953246724688,0.8731268731268731,CrossEntropy,0.6806205108108149,0.8183632734530938
23,0.22190131307894964,0.8710444690022474,0.9168746879680479,0.739842432289132,0.8401598401598401,CrossEntropy,0.6806205108108149,0.8183632734530938
24,0.20595115530063432,0.8727927520827545,0.9221168247628557,0.7854604261076104,0.8611388611388612,CrossEntropy,0.6806205108108149,0.8183632734530938
25,0.21204650424331783,0.8787270144802859,0.9212431352970544,0.7653528368927357,0.8551448551448552,CrossEntropy,0.6806205108108149,0.8183632734530938
26,0.1988851294455775,0.8950518424239658,0.9252371442835746,0.7603651830930575,0.8511488511488512,CrossEntropy,0.6806205108108149,0.8183632734530938
27,0.19414808605593514,0.8903949380273827,0.9304792810783824,0.7596484604310961,0.8451548451548452,CrossEntropy,0.6806205108108149,0.8183632734530938
28,0.18506483562231302,0.9012230056141,0.9342236645032451,0.8227456880374879,0.8851148851148851,CrossEntropy,0.6806205108108149,0.8183632734530938
29,0.16766289033856524,0.9104475902224295,0.9383424862705941,0.7547563177937076,0.8541458541458542,CrossEntropy,0.6806205108108149,0.8183632734530938
30,0.17227876863898747,0.9091726071603414,0.9390913629555666,0.7588861285116487,0.8591408591408591,CrossEntropy,0.6806205108108149,0.8183632734530938
31,0.16854267982966398,0.9097204885707609,0.9393409885172241,0.7691110629419241,0.8671328671328671,CrossEntropy,0.6806205108108149,0.8183632734530938
32,0.16225289476968616,0.9084743805807287,0.9383424862705941,0.7717699341120857,0.8701298701298701,CrossEntropy,0.6806205108108149,0.8183632734530938
33,0.15483962104422044,0.9187120754046003,0.9434598102845732,0.7673923302066463,0.8701298701298701,CrossEntropy,0.6806205108108149,0.8183632734530938
34,0.14787185667045563,0.9078126377924092,0.946080878681977,0.7581288003775918,0.8591408591408591,CrossEntropy,0.6806205108108149,0.8183632734530938
35,0.13888750031620145,0.9242493361577255,0.9483275087368946,0.7971612288672187,0.8811188811188811,CrossEntropy,0.6806205108108149,0.8183632734530938
36,0.14138099126354514,0.9260368452667779,0.9468297553669496,0.7744396098987937,0.8691308691308691,CrossEntropy,0.6806205108108149,0.8183632734530938
37,0.1288441037017095,0.9247425794416754,0.9531952071892161,0.8050461937615275,0.8801198801198801,CrossEntropy,0.6806205108108149,0.8183632734530938
