epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy,loss_fn,Test_f1,Test_acc
1,0.3054962043624475,0.27434148672424064,0.70381927109336,0.29806122292177056,0.7412587412587412,FocalLoss,0.7102784749840035,0.843313373253493
2,0.1884590365452714,0.4498451297841858,0.7470044932601099,0.4733093177212916,0.7762237762237763,FocalLoss,0.7102784749840035,0.843313373253493
3,0.1486932121855448,0.5344157725978561,0.7732151772341488,0.5698488007600997,0.7752247752247752,FocalLoss,0.7102784749840035,0.843313373253493
4,0.11377012763038812,0.5812504680910119,0.792061907139291,0.685907652043278,0.8291708291708292,FocalLoss,0.7102784749840035,0.843313373253493
5,0.09124271390937358,0.6604585320612538,0.8171492760858712,0.6174690638069399,0.8171828171828172,FocalLoss,0.7102784749840035,0.843313373253493
6,0.0889309430606218,0.6736692998651224,0.8186470294558162,0.7175375862824429,0.8361638361638362,FocalLoss,0.7102784749840035,0.843313373253493
7,0.07750934003240084,0.6780332529220495,0.8225162256615077,0.7151472579809679,0.8401598401598401,FocalLoss,0.7102784749840035,0.843313373253493
8,0.06608915160339608,0.712973750158859,0.8383674488267598,0.6737002634042445,0.8101898101898102,FocalLoss,0.7102784749840035,0.843313373253493
9,0.05496644977187048,0.7261332107412609,0.845481777333999,0.6407825682799121,0.7302697302697303,FocalLoss,0.7102784749840035,0.843313373253493
10,0.05015007072161749,0.7525720001942977,0.8535946080878682,0.7348614046969144,0.8471528471528471,FocalLoss,0.7102784749840035,0.843313373253493
