epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy
1.0,0.2712914470476083,0.3399972209203743,0.7138292561158263,0.4450630206635697,0.772020725388601
2.0,0.1863591282393414,0.4605143409349083,0.7516724912631053,0.472173919575031,0.7668393782383419
3.0,0.1574333325242653,0.5319893706477618,0.7661507738392411,0.5736368393511251,0.8031088082901554
4.0,0.134209307749717,0.5674643169479315,0.781927109335996,0.5623242061688407,0.8031088082901554
5.0,0.1202741319718309,0.5938957939089505,0.7945082376435347,0.6624363222983912,0.7875647668393783
6.0,0.1109078465767514,0.6242406239813788,0.8015976035946081,0.5042678411950648,0.7616580310880829
7.0,0.0979606490106152,0.6338685104784625,0.8082875686470294,0.5267467112262652,0.7875647668393783
8.0,0.0976120037243912,0.6377315617158853,0.8063904143784324,0.6992008441046378,0.8393782383419689
9.0,0.0844621041420692,0.673640694717378,0.819670494258612,0.6465099977517272,0.8238341968911918
10.0,0.0749476587633414,0.6875431810057295,0.8272591113330005,0.5148035868043715,0.772020725388601
11.0,0.0778450450574318,0.6867406335596594,0.8232651023464803,0.7698858778484071,0.8134715025906736
12.0,0.0656796080155518,0.7061303375617065,0.836245631552671,0.5450287505284906,0.7772020725388601
13.0,0.0560887601775542,0.7296678036398182,0.8449326010983524,0.5648912695605303,0.7875647668393783
14.0,0.058651905918952,0.7230689889839299,0.8418372441337993,0.5798895212938797,0.8082901554404145
15.0,0.0532481117001452,0.7448571789495434,0.8482276585122317,0.44744492502281,0.7461139896373057
16.0,0.0523200885529597,0.7401050304770729,0.8496255616575137,0.6617382617382618,0.8031088082901554
17.0,0.0494570000061449,0.765765758607305,0.8573140289565652,0.4799463352156561,0.7668393782383419
18.0,0.0473845277380305,0.7642018671013614,0.8580129805292062,0.561651090251496,0.7875647668393783
19.0,0.0355011701182917,0.7989336477893606,0.872990514228657,0.6103317220325427,0.7979274611398963
20.0,0.0379382492414639,0.7730740089994775,0.8667998002995507,0.618895194491666,0.8290155440414507
21.0,0.0347914192001722,0.7974180970395413,0.8741887169246131,0.6801293532961468,0.8082901554404145
22.0,0.0428443904512356,0.7824189050765485,0.8636045931103346,0.5611029364723946,0.7927461139896373
23.0,0.0364082220409172,0.7962293443907816,0.874288567149276,0.7430492044430509,0.8031088082901554
24.0,0.0332410862879863,0.7937229062659259,0.8760858711932101,0.581284658588806,0.8031088082901554
25.0,0.0287472819723486,0.8171722333897511,0.8850723914128806,0.628854629241726,0.8393782383419689
26.0,0.024204450269853,0.8317590144119934,0.8939590614078882,0.6724055909302589,0.7979274611398963
27.0,0.0249499278877617,0.8333861351028531,0.8935596605092362,0.5841080975009546,0.8031088082901554
28.0,0.0221598471049777,0.839875505055596,0.8948577134298552,0.6556446127092157,0.8497409326424871
29.0,0.0170660159349205,0.8603339933943125,0.9032451323015476,0.6344065576541175,0.8393782383419689
30.0,0.0209504209924489,0.8397988107936507,0.8934598102845731,0.5573269227754277,0.7823834196891192
31.0,0.0296435689610524,0.8230325371090833,0.8866699950074888,0.5637149547127042,0.8031088082901554
32.0,0.0168028487119088,0.854974270650568,0.9022466300549176,0.7696245933089058,0.8238341968911918
33.0,0.1323138595039483,0.7245742377533768,0.8428357463804294,0.2911518138284212,0.7046632124352331
34.0,0.1893840448472637,0.4662254841710221,0.7504742885671493,0.5354668513173294,0.7927461139896373
35.0,0.1154026347837342,0.6250674595772452,0.8025961058412382,0.5621056362991846,0.7979274611398963
36.0,0.0580609032628349,0.7515271428634546,0.8520219670494259,0.5391300598471913,0.7772020725388601
37.0,0.0427831637638862,0.7812896455655655,0.8690963554667998,0.556986632105712,0.7772020725388601
38.0,0.02953850173227,0.8077980140912223,0.8843734398402396,0.6168871768093559,0.8238341968911918
39.0,0.0221344766443403,0.847928638450768,0.8956565152271593,0.5688908263465159,0.8082901554404145
40.0,0.0224910600634106,0.8483838354154054,0.8986520219670494,0.7864166661775437,0.8238341968911918
41.0,0.023604849141407,0.8406783746985257,0.8942586120818772,0.5851963610160331,0.8031088082901554
42.0,0.0163083536958693,0.8603075088350766,0.908836744882676,0.5771121435257679,0.8134715025906736
43.0,0.0098263730342238,0.8940419209386283,0.9250124812780828,0.6455478801215079,0.8341968911917098
44.0,0.0101697042896099,0.8859632100532695,0.9222166749875188,0.7597600560529241,0.8341968911917098
45.0,0.0078204959702528,0.8955799512671504,0.9310034947578631,0.6579656260771758,0.8341968911917098
46.0,0.013405285524222505,0.8791166650203399,0.9170244633050424,0.5641612980195657,0.8290155440414507
