epoch,train_loss,train_f1,train_accuracy,val_f1,val_accuracy,loss_fn,Test_f1,Test_acc
1,0.30856170207738115,0.2472113243245104,0.7015476784822766,0.41544011544011544,0.7253886010362695,FocalLoss,0.6391675314944935,0.78505291005291
2,0.1872955201247249,0.4459381189479287,0.7511732401397904,0.5227177436582938,0.8082901554404145,FocalLoss,0.6391675314944935,0.78505291005291
3,0.13303561203967268,0.5713507388192608,0.783025461807289,0.5779694236003782,0.8031088082901554,FocalLoss,0.6391675314944935,0.78505291005291
4,0.10950598983576122,0.6175328609180099,0.7987019470793809,0.5253937092807525,0.7616580310880829,FocalLoss,0.6391675314944935,0.78505291005291
5,0.08773706017877347,0.6635958739861587,0.8163754368447329,0.5576967724026548,0.7875647668393783,FocalLoss,0.6391675314944935,0.78505291005291
6,0.07777536431916605,0.6800680358117935,0.8246630054917623,0.6398044369196099,0.8186528497409327,FocalLoss,0.6391675314944935,0.78505291005291
7,0.06601144095582251,0.7053473722363596,0.8325511732401398,0.591101004258899,0.8134715025906736,FocalLoss,0.6391675314944935,0.78505291005291
8,0.05731256107558696,0.7300314609431112,0.8441337993010485,0.6115922667257304,0.8031088082901554,FocalLoss,0.6391675314944935,0.78505291005291
9,0.05090434468364694,0.7505992182090057,0.8518222666000999,0.8191243374529711,0.8652849740932642,FocalLoss,0.6391675314944935,0.78505291005291
10,0.04196226444562522,0.7717431583080815,0.8632051922116825,0.5781470874354657,0.7875647668393783,FocalLoss,0.6391675314944935,0.78505291005291
